P,T,gt_mol_frac,gt_wt_frac,gt_vol_frac,Mg,Mn,Fe,Ca
8.615384615384615,444.8275862068965,0.002550290055485174,0.0031527819879799456,0.0021113468159665726,0.0073394479090578965,0.1892687077162753,0.3669835142867209,0.43640833008794594
8.961538461538462,444.8275862068965,0.003374512615202998,0.004168047320352381,0.0028006460262265213,0.007363553325339977,0.17392592931670797,0.3729198115585908,0.4457907057993612
9.307692307692307,444.8275862068965,0.004391546553059508,0.005419516393070903,0.0036535336024532666,0.007378313769126098,0.15756880342804305,0.3798573653125189,0.45519551749031195
9.653846153846153,444.8275862068965,0.005643093771463025,0.006957641164073083,0.004706136765081517,0.007415694360552157,0.1412317799401066,0.3862129997862009,0.4651395259131404
10.0,444.8275862068965,0.007267825714877507,0.008952487342477543,0.006075626524050517,0.007448939943195984,0.12401545218925697,0.39329226031506465,0.47524334755248243
1.0,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461538461538463,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6923076923076923,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0384615384615383,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3846153846153846,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730769230769231,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0769230769230766,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.423076923076923,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.769230769230769,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.115384615384615,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.461538461538462,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8076923076923075,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
